会場,LIVE,住所
" カナモトホール
 （スナネコ建設のみ札幌文化芸術劇場hitaru）","
2021/12/22 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2021/12/23 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/11/01 GAME CENTER TOUR『テクノプア』
2022/11/02 GAME CENTER TOUR『テクノプア』
2023/12/01 原始五年巡回公演「喫茶・愛のペガサス」
2023/12/02 原始五年巡回公演「喫茶・愛のペガサス」
2024/11/13 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",北海道札幌市中央区北1条西1
 松山市民会館,"
2023/11/26 原始五年巡回公演「喫茶・愛のペガサス」
2024/11/04 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",愛媛県松山市堀之内
 フェスティバルホール,"
2022/01/26 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/01/27 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/12/12 GAME CENTER TOUR『テクノプア』
2022/12/13 GAME CENTER TOUR『テクノプア』
2023/11/14 原始五年巡回公演「喫茶・愛のペガサス」
2023/11/15 原始五年巡回公演「喫茶・愛のペガサス」
2024/10/28 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/29 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",大阪府大阪市北区中之島2-3-18
 ⻑良川国際会議場 メインホール,"
2024/10/25 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",岐阜県岐阜市長良福光2695-2
 アクトシティ浜松 大ホール,"
2023/10/11 原始五年巡回公演「喫茶・愛のペガサス」
2024/10/22 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/23 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",静岡県浜松市中央区板屋町111-1
 東京ガーデンシアター,"
2020/11/28 「やきやきヤンキーツアー(炙りと燻製編)」
2020/11/29 「やきやきヤンキーツアー(炙りと燻製編)」
2022/12/21 GAME CENTER TOUR『テクノプア』
2022/12/22 GAME CENTER TOUR『テクノプア』
2023/12/18 原始五年巡回公演「喫茶・愛のペガサス」
2023/12/19 原始五年巡回公演「喫茶・愛のペガサス」
2023/12/21 原始五年巡回公演「喫茶・愛のペガサス」
2023/12/22 原始五年巡回公演「喫茶・愛のペガサス」
2024/10/16 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/17 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",東京都江東区有明2-1-6
 大宮ソニックシティ 大ホール,"
2024/10/09 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/10 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",埼玉県さいたま市大宮区桜木町1-7-5
 ベイシア文化ホール（現在は休館）,"
2022/01/16 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2024/10/05 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/06 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",群馬県前橋市日吉町1-10-1
 Kアリーナ横浜,"
2024/05/04 本格中華喫茶・愛のペガサス～羅武の香辛龍
2024/05/05 本格中華喫茶・愛のペガサス～羅武の香辛龍
",神奈川県横浜市西区みなとみらい6-2-14
 沖縄・ミュージックタウン音市場,"
2024/01/13 原始五年巡回公演「喫茶・愛のペガサス」沖縄出張所
2024/01/14 原始五年巡回公演「喫茶・愛のペガサス」沖縄出張所
",沖縄県沖縄市上地1-1-1
